"filename", "language", "TypeScript", "JSON", "SCSS", "Vue", "JSON with Comments", "Markdown", "JavaScript", "HTML", "CSS", "XML", "wxml", "comment", "blank", "total"
"c:\Users\yzc\Desktop\pet\.hbuilderx\launch.json", "JSON with Comments", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 1, 1, 21
"c:\Users\yzc\Desktop\pet\App.vue", "Vue", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 2, 20
"c:\Users\yzc\Desktop\pet\common\amap-wx.130.js", "JavaScript", 0, 0, 0, 0, 0, 0, 659, 0, 0, 0, 0, 0, 2, 661
"c:\Users\yzc\Desktop\pet\common\throttle.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\yzc\Desktop\pet\components\AuthorInformation\index.vue", "Vue", 0, 0, 0, 204, 0, 0, 0, 0, 0, 0, 0, 0, 4, 208
"c:\Users\yzc\Desktop\pet\components\Issue\index.vue", "Vue", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 2, 31
"c:\Users\yzc\Desktop\pet\components\Message\index.vue", "Vue", 0, 0, 0, 222, 0, 0, 0, 0, 0, 0, 0, 0, 4, 226
"c:\Users\yzc\Desktop\pet\components\PetList\index.vue", "Vue", 0, 0, 0, 205, 0, 0, 0, 0, 0, 0, 0, 0, 5, 210
"c:\Users\yzc\Desktop\pet\components\Tab\Apply\index.vue", "Vue", 0, 0, 0, 208, 0, 0, 0, 0, 0, 0, 0, 0, 5, 213
"c:\Users\yzc\Desktop\pet\components\Tab\CatDaily\index.vue", "Vue", 0, 0, 0, 292, 0, 0, 0, 0, 0, 0, 0, 0, 4, 296
"c:\Users\yzc\Desktop\pet\components\Tab\Collect\Adopt.vue", "Vue", 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 3, 64
"c:\Users\yzc\Desktop\pet\components\Tab\Collect\FoundPet.vue", "Vue", 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 3, 67
"c:\Users\yzc\Desktop\pet\components\Tab\Collect\Knowledge.vue", "Vue", 0, 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 3, 86
"c:\Users\yzc\Desktop\pet\components\Tab\Collect\PopularizationOfScience.vue", "Vue", 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 3, 60
"c:\Users\yzc\Desktop\pet\components\Tab\Encyclopedia\PetDetail.vue", "Vue", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 3, 32
"c:\Users\yzc\Desktop\pet\components\Tab\Encyclopedia\index.vue", "Vue", 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 4, 83
"c:\Users\yzc\Desktop\pet\components\Tab\Found\index.vue", "Vue", 0, 0, 0, 199, 0, 0, 0, 0, 0, 0, 0, 0, 3, 202
"c:\Users\yzc\Desktop\pet\components\Tab\Issue\index.vue", "Vue", 0, 0, 0, 209, 0, 0, 0, 0, 0, 0, 0, 0, 3, 212
"c:\Users\yzc\Desktop\pet\components\Tab\Receive\index.vue", "Vue", 0, 0, 0, 336, 0, 0, 0, 0, 0, 0, 0, 0, 3, 339
"c:\Users\yzc\Desktop\pet\components\city-select\City\citys\citys.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1025, 0, 0, 0, 0, 0, 1, 1026
"c:\Users\yzc\Desktop\pet\components\city-select\City\citys\citys.vue", "Vue", 0, 0, 0, 110, 0, 0, 0, 0, 0, 0, 0, 0, 3, 113
"c:\Users\yzc\Desktop\pet\components\city-select\City\index.vue", "Vue", 0, 0, 0, 165, 0, 0, 0, 0, 0, 0, 0, 0, 3, 168
"c:\Users\yzc\Desktop\pet\components\city-select\city-select.vue", "Vue", 0, 0, 0, 459, 0, 0, 0, 0, 0, 0, 0, 7, 25, 491
"c:\Users\yzc\Desktop\pet\components\city-select\citySelect.js", "JavaScript", 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 7, 3, 37
"c:\Users\yzc\Desktop\pet\components\gtc-pickerAddress\data.js", "JavaScript", 0, 0, 0, 0, 0, 0, 13249, 0, 0, 0, 0, 1, 0, 13250
"c:\Users\yzc\Desktop\pet\components\gtc-pickerAddress\pickerAddress.vue", "Vue", 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 7, 107
"c:\Users\yzc\Desktop\pet\components\mehaotian-search\mehaotian-search.vue", "Vue", 0, 0, 0, 206, 0, 0, 0, 0, 0, 0, 0, 1, 4, 211
"c:\Users\yzc\Desktop\pet\components\pick-regions\pick-regions.vue", "Vue", 0, 0, 0, 150, 0, 0, 0, 0, 0, 0, 0, 0, 2, 152
"c:\Users\yzc\Desktop\pet\components\pick-regions\regions.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\yzc\Desktop\pet\components\u-popup\u-popup.vue", "Vue", 0, 0, 0, 353, 0, 0, 0, 0, 0, 0, 0, 2, 4, 359
"c:\Users\yzc\Desktop\pet\components\u-show-poster\u-show-poster.vue", "Vue", 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 2, 56
"c:\Users\yzc\Desktop\pet\env.d.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7
"c:\Users\yzc\Desktop\pet\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 2, 1, 21
"c:\Users\yzc\Desktop\pet\main.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17
"c:\Users\yzc\Desktop\pet\manifest.json", "JSON", 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 1, 96
"c:\Users\yzc\Desktop\pet\package-lock.json", "JSON", 0, 7595, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7596
"c:\Users\yzc\Desktop\pet\package.json", "JSON", 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 68
"c:\Users\yzc\Desktop\pet\pages.json", "JSON", 0, 261, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 3, 273
"c:\Users\yzc\Desktop\pet\pages\Adopt\List\index.vue", "Vue", 0, 0, 0, 144, 0, 0, 0, 0, 0, 0, 0, 0, 4, 148
"c:\Users\yzc\Desktop\pet\pages\Adopt\Notice\index.vue", "Vue", 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 2, 62
"c:\Users\yzc\Desktop\pet\pages\Adopt\Search\index.vue", "Vue", 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 5, 50
"c:\Users\yzc\Desktop\pet\pages\Adopt\Swiper\index.vue", "Vue", 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 2, 66
"c:\Users\yzc\Desktop\pet\pages\Adopt\index.vue", "Vue", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\yzc\Desktop\pet\pages\ApplyAdopt\Applied\index.vue", "Vue", 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 3, 49
"c:\Users\yzc\Desktop\pet\pages\ApplyAdopt\Apply\index.vue", "Vue", 0, 0, 0, 510, 0, 0, 0, 0, 0, 0, 0, 0, 4, 514
"c:\Users\yzc\Desktop\pet\pages\ApplyAdopt\Explain\index.vue", "Vue", 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 4, 58
"c:\Users\yzc\Desktop\pet\pages\ApplyAdopt\Inferior\index.vue", "Vue", 0, 0, 0, 186, 0, 0, 0, 0, 0, 0, 0, 0, 3, 189
"c:\Users\yzc\Desktop\pet\pages\ApplyAdopt\PetAppearance\index.vue", "Vue", 0, 0, 0, 161, 0, 0, 0, 0, 0, 0, 0, 0, 2, 163
"c:\Users\yzc\Desktop\pet\pages\ApplyAdopt\PetInformation\index.vue", "Vue", 0, 0, 0, 288, 0, 0, 0, 0, 0, 0, 0, 0, 5, 293
"c:\Users\yzc\Desktop\pet\pages\ApplyAdopt\Poster\index.vue", "Vue", 0, 0, 0, 207, 0, 0, 0, 0, 0, 0, 0, 0, 3, 210
"c:\Users\yzc\Desktop\pet\pages\ApplyAdopt\Remind\index.vue", "Vue", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 3, 39
"c:\Users\yzc\Desktop\pet\pages\ApplyAdopt\UserInfo\index.vue", "Vue", 0, 0, 0, 150, 0, 0, 0, 0, 0, 0, 0, 0, 3, 153
"c:\Users\yzc\Desktop\pet\pages\ApplyAdopt\index.vue", "Vue", 0, 0, 0, 388, 0, 0, 0, 0, 0, 0, 0, 0, 6, 394
"c:\Users\yzc\Desktop\pet\pages\Chat\index.vue", "Vue", 0, 0, 0, 368, 0, 0, 0, 0, 0, 0, 0, 0, 4, 372
"c:\Users\yzc\Desktop\pet\pages\FoundPet\List\index.vue", "Vue", 0, 0, 0, 257, 0, 0, 0, 0, 0, 0, 0, 0, 4, 261
"c:\Users\yzc\Desktop\pet\pages\FoundPet\Search\index.vue", "Vue", 0, 0, 0, 94, 0, 0, 0, 0, 0, 0, 0, 0, 2, 96
"c:\Users\yzc\Desktop\pet\pages\FoundPet\index.vue", "Vue", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\yzc\Desktop\pet\pages\Home\Daily\CatDaily\TopicDetail\index.vue", "Vue", 0, 0, 0, 349, 0, 0, 0, 0, 0, 0, 0, 0, 3, 352
"c:\Users\yzc\Desktop\pet\pages\Home\Daily\CatDaily\index.vue", "Vue", 0, 0, 0, 160, 0, 0, 0, 0, 0, 0, 0, 0, 3, 163
"c:\Users\yzc\Desktop\pet\pages\Home\Daily\Participation\index.vue", "Vue", 0, 0, 0, 113, 0, 0, 0, 0, 0, 0, 0, 0, 2, 115
"c:\Users\yzc\Desktop\pet\pages\Home\Daily\index.vue", "Vue", 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 3, 74
"c:\Users\yzc\Desktop\pet\pages\Home\Enlightenment\index.vue", "Vue", 0, 0, 0, 455, 0, 0, 0, 0, 0, 0, 0, 0, 4, 459
"c:\Users\yzc\Desktop\pet\pages\Home\Found\index.vue", "Vue", 0, 0, 0, 142, 0, 0, 0, 0, 0, 0, 0, 0, 3, 145
"c:\Users\yzc\Desktop\pet\pages\Home\Knowledge\PopularizationOfScience\Encyclopedia\EncylopediaDetail\index.vue", "Vue", 0, 0, 0, 206, 0, 0, 0, 0, 0, 0, 0, 0, 6, 212
"c:\Users\yzc\Desktop\pet\pages\Home\Knowledge\PopularizationOfScience\Encyclopedia\index.vue", "Vue", 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 1, 70
"c:\Users\yzc\Desktop\pet\pages\Home\Knowledge\PopularizationOfScience\Knowledge\index.vue", "Vue", 0, 0, 0, 149, 0, 0, 0, 0, 0, 0, 0, 0, 3, 152
"c:\Users\yzc\Desktop\pet\pages\Home\Knowledge\PopularizationOfScience\index.vue", "Vue", 0, 0, 0, 193, 0, 0, 0, 0, 0, 0, 0, 0, 5, 198
"c:\Users\yzc\Desktop\pet\pages\Home\Knowledge\index.vue", "Vue", 0, 0, 0, 140, 0, 0, 0, 0, 0, 0, 0, 0, 2, 142
"c:\Users\yzc\Desktop\pet\pages\Home\Swiper\index.vue", "Vue", 0, 0, 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 2, 87
"c:\Users\yzc\Desktop\pet\pages\Home\WaitAdopt\index.vue", "Vue", 0, 0, 0, 156, 0, 0, 0, 0, 0, 0, 0, 0, 1, 157
"c:\Users\yzc\Desktop\pet\pages\Home\index.vue", "Vue", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
"c:\Users\yzc\Desktop\pet\pages\Issue\Adoption\index.vue", "Vue", 0, 0, 0, 788, 0, 0, 0, 0, 0, 0, 0, 0, 8, 796
"c:\Users\yzc\Desktop\pet\pages\Issue\FoundPet\index.vue", "Vue", 0, 0, 0, 445, 0, 0, 0, 0, 0, 0, 0, 0, 3, 448
"c:\Users\yzc\Desktop\pet\pages\Issue\Interest\index.vue", "Vue", 0, 0, 0, 97, 0, 0, 0, 0, 0, 0, 0, 0, 3, 100
"c:\Users\yzc\Desktop\pet\pages\Issue\Notice\index.vue", "Vue", 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 2, 41
"c:\Users\yzc\Desktop\pet\pages\Issue\index.vue", "Vue", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\yzc\Desktop\pet\pages\Message\MyCollect\index.vue", "Vue", 0, 0, 0, 174, 0, 0, 0, 0, 0, 0, 0, 0, 4, 178
"c:\Users\yzc\Desktop\pet\pages\Message\MyComment\index.vue", "Vue", 0, 0, 0, 186, 0, 0, 0, 0, 0, 0, 0, 0, 3, 189
"c:\Users\yzc\Desktop\pet\pages\Message\News\index.vue", "Vue", 0, 0, 0, 123, 0, 0, 0, 0, 0, 0, 0, 0, 4, 127
"c:\Users\yzc\Desktop\pet\pages\Message\Received\index.vue", "Vue", 0, 0, 0, 102, 0, 0, 0, 0, 0, 0, 0, 0, 3, 105
"c:\Users\yzc\Desktop\pet\pages\Message\index.vue", "Vue", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 2, 38
"c:\Users\yzc\Desktop\pet\pages\Mine\PersonalInformation\Collect\index.vue", "Vue", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 3, 29
"c:\Users\yzc\Desktop\pet\pages\Mine\PersonalInformation\Footprint\index.vue", "Vue", 0, 0, 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 3, 101
"c:\Users\yzc\Desktop\pet\pages\Mine\PersonalInformation\index.vue", "Vue", 0, 0, 0, 235, 0, 0, 0, 0, 0, 0, 0, 0, 3, 238
"c:\Users\yzc\Desktop\pet\pages\Mine\Request\Apply\ApplyDetail\index.vue", "Vue", 0, 0, 0, 246, 0, 0, 0, 0, 0, 0, 0, 0, 3, 249
"c:\Users\yzc\Desktop\pet\pages\Mine\Request\Apply\index.vue", "Vue", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 1, 37
"c:\Users\yzc\Desktop\pet\pages\Mine\Request\Found\index.vue", "Vue", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 3, 33
"c:\Users\yzc\Desktop\pet\pages\Mine\Request\Issue\index.vue", "Vue", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 3, 33
"c:\Users\yzc\Desktop\pet\pages\Mine\Request\Receive\ProposerDetail\index.vue", "Vue", 0, 0, 0, 175, 0, 0, 0, 0, 0, 0, 0, 0, 3, 178
"c:\Users\yzc\Desktop\pet\pages\Mine\Request\Receive\index.vue", "Vue", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 3, 38
"c:\Users\yzc\Desktop\pet\pages\Mine\Request\index.vue", "Vue", 0, 0, 0, 151, 0, 0, 0, 0, 0, 0, 0, 0, 4, 155
"c:\Users\yzc\Desktop\pet\pages\Mine\Safe\index.vue", "Vue", 0, 0, 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 2, 87
"c:\Users\yzc\Desktop\pet\pages\Mine\index.vue", "Vue", 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 2, 49
"c:\Users\yzc\Desktop\pet\static\icon.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 119, 0, 0, 0, 41, 160
"c:\Users\yzc\Desktop\pet\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 1, 17
"c:\Users\yzc\Desktop\pet\types\common.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\yzc\Desktop\pet\uni.scss", "SCSS", 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 27, 18, 99
"c:\Users\yzc\Desktop\pet\uniCloud-aliyun\cloudfunctions\adoption\adoption.param.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"c:\Users\yzc\Desktop\pet\uniCloud-aliyun\cloudfunctions\adoption\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 1, 2, 32
"c:\Users\yzc\Desktop\pet\uniCloud-aliyun\cloudfunctions\adoption\package-lock.json", "JSON", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27
"c:\Users\yzc\Desktop\pet\uniCloud-aliyun\cloudfunctions\adoption\package.json", "JSON", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12
"c:\Users\yzc\Desktop\pet\uniCloud-aliyun\cloudfunctions\apply\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 1, 1, 26
"c:\Users\yzc\Desktop\pet\uniCloud-aliyun\cloudfunctions\apply\package.json", "JSON", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12
"c:\Users\yzc\Desktop\pet\uniCloud-aliyun\cloudfunctions\collect\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 1, 2, 20
"c:\Users\yzc\Desktop\pet\uniCloud-aliyun\cloudfunctions\collect\package-lock.json", "JSON", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27
"c:\Users\yzc\Desktop\pet\uniCloud-aliyun\cloudfunctions\collect\package.json", "JSON", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12
"c:\Users\yzc\Desktop\pet\uniCloud-aliyun\cloudfunctions\comment\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 1, 2, 23
"c:\Users\yzc\Desktop\pet\uniCloud-aliyun\cloudfunctions\comment\package-lock.json", "JSON", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27
"c:\Users\yzc\Desktop\pet\uniCloud-aliyun\cloudfunctions\comment\package.json", "JSON", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12
"c:\Users\yzc\Desktop\pet\uniCloud-aliyun\cloudfunctions\footprint\adoption.param.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"c:\Users\yzc\Desktop\pet\uniCloud-aliyun\cloudfunctions\footprint\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 1, 2, 16
"c:\Users\yzc\Desktop\pet\uniCloud-aliyun\cloudfunctions\footprint\package-lock.json", "JSON", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27
"c:\Users\yzc\Desktop\pet\uniCloud-aliyun\cloudfunctions\footprint\package.json", "JSON", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12
"c:\Users\yzc\Desktop\pet\uniCloud-aliyun\cloudfunctions\foundPet\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 1, 2, 28
"c:\Users\yzc\Desktop\pet\uniCloud-aliyun\cloudfunctions\foundPet\package-lock.json", "JSON", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27
"c:\Users\yzc\Desktop\pet\uniCloud-aliyun\cloudfunctions\foundPet\package.json", "JSON", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12
"c:\Users\yzc\Desktop\pet\uniCloud-aliyun\cloudfunctions\push\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 1, 14
"c:\Users\yzc\Desktop\pet\uniCloud-aliyun\cloudfunctions\push\package.json", "JSON", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17
"c:\Users\yzc\Desktop\pet\uniCloud-aliyun\cloudfunctions\token\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 5, 2, 31
"c:\Users\yzc\Desktop\pet\uniCloud-aliyun\cloudfunctions\token\package.json", "JSON", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"c:\Users\yzc\Desktop\pet\uniCloud-aliyun\cloudfunctions\topic\adoption.param.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"c:\Users\yzc\Desktop\pet\uniCloud-aliyun\cloudfunctions\topic\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 1, 2, 17
"c:\Users\yzc\Desktop\pet\uniCloud-aliyun\cloudfunctions\topic\package-lock.json", "JSON", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27
"c:\Users\yzc\Desktop\pet\uniCloud-aliyun\cloudfunctions\topic\package.json", "JSON", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12
"c:\Users\yzc\Desktop\pet\uniCloud-aliyun\cloudfunctions\uploadPicture\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 1, 1, 13
"c:\Users\yzc\Desktop\pet\uniCloud-aliyun\cloudfunctions\uploadPicture\package.json", "JSON", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"c:\Users\yzc\Desktop\pet\uniCloud-aliyun\database\adoption.schema.json", "JSON", 0, 112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 114
"c:\Users\yzc\Desktop\pet\uniCloud-aliyun\database\apply.schema.json", "JSON", 0, 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 79
"c:\Users\yzc\Desktop\pet\uniCloud-aliyun\database\chat.schema.json", "JSON", 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 76
"c:\Users\yzc\Desktop\pet\uniCloud-aliyun\database\collect.schema.json", "JSON", 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 55
"c:\Users\yzc\Desktop\pet\uniCloud-aliyun\database\comment.schema.json", "JSON", 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 66
"c:\Users\yzc\Desktop\pet\uniCloud-aliyun\database\footprint.schema.json", "JSON", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 31
"c:\Users\yzc\Desktop\pet\uniCloud-aliyun\database\foundPet.schema.json", "JSON", 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 95
"c:\Users\yzc\Desktop\pet\uniCloud-aliyun\database\images.schema.json", "JSON", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 24
"c:\Users\yzc\Desktop\pet\uniCloud-aliyun\database\opendb-city-china.schema.json", "JSON", 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 48
"c:\Users\yzc\Desktop\pet\uniCloud-aliyun\database\pet.schema.json", "JSON", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"c:\Users\yzc\Desktop\pet\uniCloud-aliyun\database\petKnowledge.schema.json", "JSON", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19
"c:\Users\yzc\Desktop\pet\uniCloud-aliyun\database\topic.schema.json", "JSON", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 42
"c:\Users\yzc\Desktop\pet\uni_modules\daxiang-query-first\changelog.md", "Markdown", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\yzc\Desktop\pet\uni_modules\daxiang-query-first\components\daxiang-query-first\daxiang-query-first.vue", "Vue", 0, 0, 0, 127, 0, 0, 0, 0, 0, 0, 0, 6, 3, 136
"c:\Users\yzc\Desktop\pet\uni_modules\daxiang-query-first\components\daxiang-query-first\query-first.js", "JavaScript", 0, 0, 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 4, 70
"c:\Users\yzc\Desktop\pet\uni_modules\daxiang-query-first\package.json", "JSON", 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 81
"c:\Users\yzc\Desktop\pet\uni_modules\daxiang-query-first\readme.md", "Markdown", 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 46
"c:\Users\yzc\Desktop\pet\uni_modules\lgd-tab\changelog.md", "Markdown", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 22
"c:\Users\yzc\Desktop\pet\uni_modules\lgd-tab\components\lgd-tab\lgd-tab.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 3, 13
"c:\Users\yzc\Desktop\pet\uni_modules\lgd-tab\components\lgd-tab\lgd-tab.vue", "Vue", 0, 0, 0, 172, 0, 0, 0, 0, 0, 0, 0, 0, 11, 183
"c:\Users\yzc\Desktop\pet\uni_modules\lgd-tab\package.json", "JSON", 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 79
"c:\Users\yzc\Desktop\pet\uni_modules\lgd-tab\readme.md", "Markdown", 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 9, 43
"c:\Users\yzc\Desktop\pet\uni_modules\sakura-canvas\changelog.md", "Markdown", 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 40, 97
"c:\Users\yzc\Desktop\pet\uni_modules\sakura-canvas\js_sdk\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 395, 0, 0, 0, 0, 114, 0, 509
"c:\Users\yzc\Desktop\pet\uni_modules\sakura-canvas\js_sdk\methods\arc.js", "JavaScript", 0, 0, 0, 0, 0, 0, 71, 0, 0, 0, 0, 15, 0, 86
"c:\Users\yzc\Desktop\pet\uni_modules\sakura-canvas\js_sdk\methods\canvas.js", "JavaScript", 0, 0, 0, 0, 0, 0, 101, 0, 0, 0, 0, 27, 1, 129
"c:\Users\yzc\Desktop\pet\uni_modules\sakura-canvas\js_sdk\methods\image.js", "JavaScript", 0, 0, 0, 0, 0, 0, 338, 0, 0, 0, 0, 78, 1, 417
"c:\Users\yzc\Desktop\pet\uni_modules\sakura-canvas\js_sdk\methods\line.js", "JavaScript", 0, 0, 0, 0, 0, 0, 79, 0, 0, 0, 0, 15, 0, 94
"c:\Users\yzc\Desktop\pet\uni_modules\sakura-canvas\js_sdk\methods\qrcode.js", "JavaScript", 0, 0, 0, 0, 0, 0, 107, 0, 0, 0, 0, 30, 0, 137
"c:\Users\yzc\Desktop\pet\uni_modules\sakura-canvas\js_sdk\methods\rect.js", "JavaScript", 0, 0, 0, 0, 0, 0, 152, 0, 0, 0, 0, 17, 0, 169
