Date : 2022-10-02 18:49:04
Directory : c:\Users\yzc\Desktop\pet
Total : 1514 files,  80100 codes, 3015 comments, 3831 blanks, all 86946 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JavaScript         |        491 |     33,420 |      2,600 |      1,402 |     37,422 |
| Vue                |        139 |     27,507 |        173 |      1,154 |     28,834 |
| JSON               |        325 |     14,427 |         26 |         56 |     14,509 |
| Markdown           |         57 |      2,259 |         12 |        548 |      2,819 |
| CSS                |        241 |      1,396 |         48 |        559 |      2,003 |
| SCSS               |         15 |        637 |        144 |         96 |        877 |
| wxml               |        231 |        230 |          0 |          1 |        231 |
| XML                |          8 |        128 |          8 |          8 |        144 |
| TypeScript         |          4 |         43 |          1 |          4 |         48 |
| JSON with Comments |          2 |         35 |          1 |          2 |         38 |
| HTML               |          1 |         18 |          2 |          1 |         21 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                 | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                    |      1,514 |     80,100 |      3,015 |      3,831 |     86,946 |
| .hbuilderx                                                                                                                                           |          1 |         19 |          1 |          1 |         21 |
| common                                                                                                                                               |          2 |        672 |          0 |          3 |        675 |
| components                                                                                                                                           |         27 |     18,176 |         18 |        106 |     18,300 |
| components\AuthorInformation                                                                                                                         |          1 |        204 |          0 |          4 |        208 |
| components\Issue                                                                                                                                     |          1 |         29 |          0 |          2 |         31 |
| components\Message                                                                                                                                   |          1 |        222 |          0 |          4 |        226 |
| components\PetList                                                                                                                                   |          1 |        205 |          0 |          5 |        210 |
| components\Tab                                                                                                                                       |         11 |      1,617 |          0 |         37 |      1,654 |
| components\Tab\Apply                                                                                                                                 |          1 |        208 |          0 |          5 |        213 |
| components\Tab\CatDaily                                                                                                                              |          1 |        292 |          0 |          4 |        296 |
| components\Tab\Collect                                                                                                                               |          4 |        265 |          0 |         12 |        277 |
| components\Tab\Encyclopedia                                                                                                                          |          2 |        108 |          0 |          7 |        115 |
| components\Tab\Found                                                                                                                                 |          1 |        199 |          0 |          3 |        202 |
| components\Tab\Issue                                                                                                                                 |          1 |        209 |          0 |          3 |        212 |
| components\Tab\Receive                                                                                                                               |          1 |        336 |          0 |          3 |        339 |
| components\city-select                                                                                                                               |          5 |      1,786 |         14 |         35 |      1,835 |
| components\city-select\City                                                                                                                          |          3 |      1,300 |          0 |          7 |      1,307 |
| components\city-select\City\citys                                                                                                                    |          2 |      1,135 |          0 |          4 |      1,139 |
| components\gtc-pickerAddress                                                                                                                         |          2 |     13,349 |          1 |          7 |     13,357 |
| components\mehaotian-search                                                                                                                          |          1 |        206 |          1 |          4 |        211 |
| components\pick-regions                                                                                                                              |          2 |        151 |          0 |          2 |        153 |
| components\u-popup                                                                                                                                   |          1 |        353 |          2 |          4 |        359 |
| components\u-show-poster                                                                                                                             |          1 |         54 |          0 |          2 |         56 |
| pages                                                                                                                                                |         55 |      8,576 |          0 |        170 |      8,746 |
| pages\Adopt                                                                                                                                          |          5 |        326 |          0 |         15 |        341 |
| pages\Adopt\List                                                                                                                                     |          1 |        144 |          0 |          4 |        148 |
| pages\Adopt\Notice                                                                                                                                   |          1 |         60 |          0 |          2 |         62 |
| pages\Adopt\Search                                                                                                                                   |          1 |         45 |          0 |          5 |         50 |
| pages\Adopt\Swiper                                                                                                                                   |          1 |         64 |          0 |          2 |         66 |
| pages\ApplyAdopt                                                                                                                                     |         10 |      2,026 |          0 |         36 |      2,062 |
| pages\ApplyAdopt\Applied                                                                                                                             |          1 |         46 |          0 |          3 |         49 |
| pages\ApplyAdopt\Apply                                                                                                                               |          1 |        510 |          0 |          4 |        514 |
| pages\ApplyAdopt\Explain                                                                                                                             |          1 |         54 |          0 |          4 |         58 |
| pages\ApplyAdopt\Inferior                                                                                                                            |          1 |        186 |          0 |          3 |        189 |
| pages\ApplyAdopt\PetAppearance                                                                                                                       |          1 |        161 |          0 |          2 |        163 |
